finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop
250000270;25;539465;38.26;1;1;1;23;0.421052631578947;0.333333333333333;0.128;0.046875;0.0378149052104374;1;7;713;2.02;3.13;0;0;0;0;0;70;60;65;29;63;13;15;10.65;5.6175;9552.775
310780150;31;1390496;34.06;0;0;0;119;0.525;0.297872340425532;0.135922330097087;0.153621665468355;0.0803889234738033;1;28;1436;3.29;4.13;0;0;0;0;0;69;49;69;41;61;130;98;23.973023255814;13.6939534883721;18515.7782945736
310783048;31;1390496;34.06;0;0;0;62;0.567567567567568;0.328125;0.138613861386139;0.391993011505207;0.0688451675977476;1;36;880;3.34;4.21;0;0;0;0;0;45;45;46;34;45;130;74;22.0426035502959;12.9831360946746;24701.8727810651
330000340;33;1620243;37.61;1;1;0;39;0.420689655172414;0.144893111638955;0.102006688963211;0.0688170049440541;0.0529810679982379;1;20;113;3.47;4.27;0;0;0;0;0;47;43;33;23;46;54;12;20.6389830508475;12.8847457627119;38112.7796610169
330781360;33;1620243;37.61;1;1;1;38;0.564814814814815;0.160949868073879;0.109318996415771;0.406130627114234;0.0521396666820427;1;35;282;3.02;4;0;0;0;0;0;49;52;46;26;51;61;21;18.5598901098901;10.9653846153846;22912.1703296703
330782582;33;1620243;37.61;1;1;1;25;0.358823529411765;0.141203703703704;0.0966719492868463;0.0604826958105647;0.043273216691243;1;13;112;3.26;4.21;0;0;11;0;0;40;40;47;33;35;54;9;18.2162790697674;12.3511627906977;43117.6744186046
340780634;34;1165412;40.13;0;0;0;38;0.403100775193798;0.220338983050847;0.0723226703755216;0.137496823186868;0.0406162631915685;1;18;164;4.23;4.98;0;0;0;0;0;44;36;44;32;44;39;32;26.2056818181818;19.6397727272727;30741.4545454545
350000121;35;1076330;35.9;1;1;1;18;0.237113402061856;0.0819964349376114;0.100877192982456;0.224106280193237;0.040260995693195;1;14;181;2.69;3.23;0;0;0;0;0;41;23;31;36;42;40;30;13.4868852459016;7.73032786885246;17697.2459016393
400780342;40;409325;46.7;0;0;0;11;0.224137931034483;0.110169491525424;0.171052631578947;0;0.054304570536947;1;5;88;3.61;3.39;0;0;0;0;0;30;28;30;34;29;0;1;16.8760869565217;15.2217391304348;14262.3913043478
420010050;42;762222;41.29;0;0;0;84;0.245454545454545;0.182432432432432;0.143617021276596;0.0947056030389364;0.118733354856897;1;17;387;2.76;4.03;0;0;0;0;0;46;42;66;23;49;66;76;17.9387931034483;9.6801724137931;24348.4482758621
570001057;57;1036153;41.22;1;1;1;43;0.266233766233766;0.220430107526882;0.0274798927613941;0.0469512195121951;0.0293997720382022;1;13;507;2.68;3.83;0;0;0;0;0;43;35;40;35;61;5;13;13.3986956521739;6.71913043478261;20793.2347826087
590000618;59;2592185;35.32;1;1;1;62;0.343971631205674;0.10589519650655;0.0946341463414634;0.230173477725024;0.0611021787963228;1;29;249;3.32;4.53;0;0;0;0;0;31;21;28;19;34;6;19;18.472380952381;10.7847619047619;18126.0952380952
590780383;59;2592185;35.32;0;0;0;31;0.329931972789116;0.117149758454106;0.0876242095754291;0.105487586393628;0.0122979820947373;1;17;210;3.77;4.44;0;0;0;0;0;23;24;28;12;22;113;47;16.0147540983607;12.8065573770492;55803.0327868852
590781951;59;2592185;35.32;1;1;1;59;0.337979094076655;0.110102156640182;0.0911654135338346;0.0972214966027504;0.0177792957201307;1;24;175;3.81;4.26;0;0;0;0;0;28;26;29;19;32;111;37;15.4247058823529;12.7011764705882;37882.4352941176
640780490;64;679354;44.79;0;1;0;14;0.042648709315376;0.0422691879866518;0.0424107142857143;0.0314553275079591;0.0276880467450902;1;10;31;4.36;4.32;0;0;0;0;0;36;26;36;29;34;4;2;21.472;22.512;22986.96
690780259;69;1882339;33.81;0;1;0;21;0.105719237435009;0.0915915915915916;0.0630165289256198;0.010331945879832;0.0133481407952067;1;11;92;3.19;3.31;0;0;0;0;0;33;32;32;31;49;22;18;13.25;10.7395833333333;33741.75
690780648;69;1882339;33.81;1;1;1;30;0.109318996415771;0.0947204968944099;0.0639412997903564;0.123988344126394;0.0254365730906908;1;21;84;3.11;3.56;0;0;0;0;0;40;32;36;21;60;73;71;14.3730158730159;8.85555555555556;39794.5079365079
690780655;69;1882339;33.81;0;1;0;13;0.0954616588419405;0.0813333333333333;0.0571696344892221;0.00011591323066732;0.0124174434942724;1;5;57;3.32;3.94;0;0;0;0;0;26;24;30;18;46;11;10;12.1893617021277;9.38723404255319;35883.7659574468
710978347;71;549763;47.03;1;0;1;6;0.23841059602649;0.0837209302325581;0.160714285714286;0.0142857142857143;0.0234881497996153;0;3;21;2.57;3;5;0;37;0;5;35;20;52;20;35;2;2;17.1785714285714;5.06428571428571;14951.5
750000523;75;2140526;34.49;1;1;1;33;0.341317365269461;0.124183006535948;0.0718789407313997;0.108594470483568;0.0424801940875846;1;15;114;2.53;3.22;0;0;0;0;0;61;22;45;42;51;90;35;13.0783783783784;8.22162162162162;35384.3648648649
750100042;75;2140526;34.49;0;1;0;33;0.35625;0.121019108280255;0.0713391739674593;0.0692286949335822;0.0451136929469259;1;17;94;2.94;2.94;0;0;0;0;0;20;20;24;27;20;234;44;8.91923076923077;7.975;63841.6346153846
750150104;75;2140526;34.49;0;0;0;21;0.387755102040816;0.132867132867133;0.0716981132075472;0.117591914490411;0.00996764219641066;1;16;207;2.66;2.61;0;0;0;0;0;51;29;53;23;62;118;40;8.65609756097561;6.80731707317073;33684.406504065
750150237;75;2140526;34.49;1;1;0;77;0.385135135135135;0.122844827586207;0.0717884130982368;0.0907504489036444;0.0499364012027517;1;18;224;2.55;2.85;0;0;0;0;0;45;40;54;25;49;202;52;9.70406976744186;6.00639534883721;29595.4709302326
750300493;75;2140526;34.49;0;1;0;40;0.295336787564767;0.115618661257606;0.0563241106719368;0;0.0313017184351697;1;7;220;3.02;3.47;0;0;0;0;0;95;75;95;84;95;168;58;20.4850299401198;11.4275449101796;61434.6766467066
800006124;80;569662;39.48;1;1;1;51;0.56;0.23728813559322;0.2;0.57010582010582;0.218291249358145;1;28;855;2.78;3.18;0;0;0;0;0;50;39;46;27;54;14;27;12.4204433497537;6.41995073891626;14870.3743842365
830100574;83;1075649;46.49;0;0;0;16;0.365384615384615;0.330434782608696;0.125827814569536;0.0282621479989901;0.0247964783030375;1;9;57;3.61;4.68;0;0;0;0;0;56;40;56;28;45;13;29;29.0892857142857;16.2035714285714;49456.5
900000035;90;143104;39.38;1;0;1;13;0.6;0.5;0.6;0;0.302675946598922;1;4;207;2.14;3.06;0;0;7;0;0;34;25;31;18;34;5;9;9.77444444444444;4.07333333333333;16897.9111111111
920100013;92;1606088;32.71;0;1;0;36;0.510204081632653;0.158730158730159;0.193798449612403;0.432616963535331;0.0813063619334125;1;29;192;2.67;2;0;0;0;0;0;24;25;38;23;27;94;29;6.74752475247525;5.73762376237624;30026.7326732673
